iter	Passed	Remaining
802	39545	9701
803	39591	9651
804	39639	9602
805	39685	9552
806	39731	9502
807	39777	9452
808	39827	9403
809	39884	9355
810	39941	9308
811	39991	9259
812	40031	9207
813	40076	9157
814	40128	9108
815	40182	9060
816	40250	9015
817	40322	8971
818	40373	8922
819	40425	8873
820	40489	8827
821	40555	8782
822	40616	8735
823	40671	8687
824	40733	8640
825	40799	8594
826	40866	8548
827	40929	8502
828	40982	8453
829	41028	8403
830	41076	8353
831	41121	8303
832	41170	8253
833	41228	8206
834	41270	8155
835	41315	8104
836	41362	8054
837	41406	8004
838	41446	7953
839	41485	7902
840	41529	7851
841	41567	7800
842	41610	7749
843	41654	7699
844	41696	7648
845	41738	7597
846	41781	7547
847	41823	7496
848	41863	7445
849	41905	7395
850	41950	7345
851	41998	7295
852	42049	7246
853	42097	7197
854	42144	7147
855	42188	7097
856	42236	7047
857	42284	6998
858	42330	6948
859	42374	6898
860	42421	6848
861	42472	6799
862	42514	6749
863	42559	6699
864	42601	6648
865	42642	6598
866	42681	6547
867	42724	6497
868	42765	6446
869	42806	6396
870	42849	6346
871	42888	6295
872	42925	6244
873	42965	6194
874	43007	6143
875	43046	6093
876	43093	6043
877	43137	5994
878	43181	5944
879	43230	5895
880	43272	5844
881	43324	5796
882	43376	5747
883	43421	5697
884	43470	5648
885	43526	5600
886	43584	5552
887	43644	5504
888	43698	5456
889	43753	5407
890	43809	5359
891	43863	5310
892	43920	5262
893	43968	5213
894	44023	5164
895	44067	5114
896	44108	5064
897	44154	5015
898	44198	4965
899	44245	4916
900	44289	4866
901	44334	4816
902	44377	4767
903	44420	4717
904	44463	4667
905	44513	4618
906	44556	4568
907	44598	4518
908	44646	4469
909	44694	4420
910	44743	4371
911	44789	4321
912	44833	4272
913	44878	4222
914	44919	4172
915	44964	4123
916	45012	4074
917	45066	4025
918	45127	3977
919	45189	3929
920	45246	3881
921	45299	3832
922	45353	3783
923	45406	3734
924	45462	3686
925	45519	3637
926	45563	3588
927	45608	3538
928	45654	3489
929	45698	3439
930	45742	3390
931	45795	3341
932	45841	3291
933	45883	3242
934	45928	3192
935	45975	3143
936	46019	3094
937	46065	3044
938	46110	2995
939	46154	2946
940	46198	2896
941	46247	2847
942	46289	2797
943	46333	2748
944	46377	2699
945	46419	2649
946	46464	2600
947	46507	2551
948	46563	2502
949	46630	2454
950	46693	2405
951	46746	2356
952	46808	2308
953	46865	2259
954	46919	2210
955	46978	2162
956	47034	2113
957	47079	2064
958	47123	2014
959	47172	1965
960	47217	1916
961	47267	1867
962	47312	1817
963	47354	1768
964	47401	1719
965	47448	1670
966	47492	1620
967	47537	1571
968	47587	1522
969	47633	1473
970	47679	1424
971	47725	1374
972	47767	1325
973	47814	1276
974	47857	1227
975	47904	1177
976	47949	1128
977	47994	1079
978	48042	1030
979	48098	981
980	48153	932
981	48215	883
982	48266	834
983	48324	785
984	48378	736
985	48437	687
986	48492	638
987	48537	589
988	48579	540
989	48627	491
990	48670	442
991	48715	392
992	48760	343
993	48805	294
994	48846	245
995	48890	196
996	48936	147
997	48982	98
998	49024	49
999	49068	0
